signal_id,experiment,ticker,signal_date,entry_date,graded_at,entry_open,ret_1d_net,ret_nd_net,bench_1d_net,bench_nd_net,excess_1d,excess_nd,win_1d,note
EXP06-SUPERTREND-2026-08-12-WMT,EXP06-SUPERTREND,WMT,2026-08-12,2026-08-13,2026-08-20T21:22:47+00:00,116.17,-0.4874,-10.7138,-0.0403,-1.1062,-0.4471,-9.6076,0,
EXP06-SUPERTREND-2026-08-18-JNJ,EXP06-SUPERTREND,JNJ,2026-08-18,2026-08-19,2026-08-27T00:24:31+00:00,273.0,0.0502,-1.1989,0.2593,-0.0205,-0.2092,-1.1784,1,
EXP06-SUPERTREND-2026-08-19-ABBV,EXP06-SUPERTREND,ABBV,2026-08-19,2026-08-20,2026-08-28T05:03:45+00:00,265.69,-1.5528,-2.9379,-0.8681,0.2072,-0.6847,-3.1451,0,
EXP06-SUPERTREND-2026-08-24-PEP,EXP06-SUPERTREND,PEP,2026-08-24,2026-08-25,2026-09-02T22:57:01+00:00,143.73,-1.1158,-2.8413,-0.0323,-0.2759,-1.0835,-2.5654,0,
EXP06-SUPERTREND-2026-09-03-META,EXP06-SUPERTREND,META,2026-09-03,2026-09-04,2026-09-14T23:40:18+00:00,612.35,0.6218,8.596,-0.3482,-1.6053,0.97,10.2013,1,
EXP06-SUPERTREND-2026-09-03-AAPL,EXP06-SUPERTREND,AAPL,2026-09-03,2026-09-04,2026-09-14T23:40:18+00:00,328.31,-2.6403,1.3529,-0.3482,-1.6053,-2.2921,2.9582,0,
