ts,event,picks_sha256,outcomes_sha256,paths_sha256,prev_chain,chain
2026-07-10T21:57:12.526877+00:00,grade,335c5a33e2e676db1f5c60d69a411eb3862dc8c13f1a206f87a67347b53e1469,97396bf1a02df4023595bcc54d3050950333f0591b5f52a47920a590a2076167,c98a21a4a94d43493fcab767fc3ca43d27774ac46af01fa52b929a023a971ebe,fd605ebce9f0fde8520871fce0eba21357f7b872af481f772fc24bab93bbb8cf,56ca7c74bb1e5bc36837cacf2af2f7b08e7a34835dacfefe956a47a1a0bac27d
2026-07-11T14:55:07.028738+00:00,report,335c5a33e2e676db1f5c60d69a411eb3862dc8c13f1a206f87a67347b53e1469,97396bf1a02df4023595bcc54d3050950333f0591b5f52a47920a590a2076167,c98a21a4a94d43493fcab767fc3ca43d27774ac46af01fa52b929a023a971ebe,56ca7c74bb1e5bc36837cacf2af2f7b08e7a34835dacfefe956a47a1a0bac27d,bb620b8384209dbc1de652d1119482454f748967752a960d1fde91c7ff66e6e0
2026-07-13T13:35:22.102678+00:00,scan,2e52b71c3829392514a2a300f11bf38c9ac9fdb71c8fb06a05cc1eb762a1b949,97396bf1a02df4023595bcc54d3050950333f0591b5f52a47920a590a2076167,c98a21a4a94d43493fcab767fc3ca43d27774ac46af01fa52b929a023a971ebe,bb620b8384209dbc1de652d1119482454f748967752a960d1fde91c7ff66e6e0,0264e4386de6cb20693d6d39e0b7a98ff3bc822590235f59f54579cc2adac966
2026-07-13T21:52:12.089017+00:00,grade,2e52b71c3829392514a2a300f11bf38c9ac9fdb71c8fb06a05cc1eb762a1b949,14240adf0ac3339b7f73f87571370b8f907c182d9fba8ef9cbf1d3f5ce90debd,bfcb3d9c17ba4f2f9702294ac8ea36fd50a6185ca8f7c72ebbe576d49207fed0,0264e4386de6cb20693d6d39e0b7a98ff3bc822590235f59f54579cc2adac966,cba344cfd5de5d47f07b0999cd65f5cee66d16ec73b66256b8a8380e00735121
2026-07-14T12:48:43.666554+00:00,scan,5cc103fad969cf35f1077c79604bfd76deb948d5ff81829b7f605b0cd373148c,14240adf0ac3339b7f73f87571370b8f907c182d9fba8ef9cbf1d3f5ce90debd,bfcb3d9c17ba4f2f9702294ac8ea36fd50a6185ca8f7c72ebbe576d49207fed0,cba344cfd5de5d47f07b0999cd65f5cee66d16ec73b66256b8a8380e00735121,e79580ef33a37b2361c191191abd5c2021c69c01f283dd8b729825cb035f3383
2026-07-14T21:54:19.141247+00:00,grade,5cc103fad969cf35f1077c79604bfd76deb948d5ff81829b7f605b0cd373148c,17eaf689d1b792dcf3e79db91da414c30b2d31b95d294f1eaf82b5eaeb88684a,770b21b9dbfda766c78e5a26faf21ed305f85917fd02163cb33062fac4563fc8,e79580ef33a37b2361c191191abd5c2021c69c01f283dd8b729825cb035f3383,e64dc14eab90e74f8a6c8d3833f9366ed15629216a0a37183a75071927287d6d
2026-07-15T12:53:02.237653+00:00,scan,6281e9e748a663cfc2acc68be8d66d49bd33e8eabf1d4a7f32af362f5c911d4c,17eaf689d1b792dcf3e79db91da414c30b2d31b95d294f1eaf82b5eaeb88684a,770b21b9dbfda766c78e5a26faf21ed305f85917fd02163cb33062fac4563fc8,e64dc14eab90e74f8a6c8d3833f9366ed15629216a0a37183a75071927287d6d,2b0cfa21702166028ec39e168dfda697b41e4b57a4113a6ce53dc9302eb2897c
2026-07-15T21:54:59.874076+00:00,grade,6281e9e748a663cfc2acc68be8d66d49bd33e8eabf1d4a7f32af362f5c911d4c,0472d6620bb8a128a975e6dacf3bcbfb8b39dc7a9843e2438fee4870f1e12223,072f8b8501a1d5aff1ab0b88662e2b497be59dd52ad867718eddc54d7a78dd86,2b0cfa21702166028ec39e168dfda697b41e4b57a4113a6ce53dc9302eb2897c,6068d0554bea1005b80bc47e93d15b916b337b21c36bedca71787a1d79906cb5
2026-07-16T13:00:21.184059+00:00,scan,b312ba89c9534d485fc03058f96333b932dcd33e0b218601c7334bf18cf181e8,0472d6620bb8a128a975e6dacf3bcbfb8b39dc7a9843e2438fee4870f1e12223,072f8b8501a1d5aff1ab0b88662e2b497be59dd52ad867718eddc54d7a78dd86,6068d0554bea1005b80bc47e93d15b916b337b21c36bedca71787a1d79906cb5,650742f441835768792f9d4cb7a2efee534a0a32a0006c196091a267af45cdcf
2026-07-16T22:00:04.912004+00:00,grade,b312ba89c9534d485fc03058f96333b932dcd33e0b218601c7334bf18cf181e8,6a254fb1e8ea7d390d01f8c92fdfea9d855119fbeccaa4c6a43510243fb74e10,b14db63674387eea11dfd210b5a758a5a07876362b4470fa599488f0afdbb52f,650742f441835768792f9d4cb7a2efee534a0a32a0006c196091a267af45cdcf,832beca1d9f96124e2e0b6ad513eb750ff47ce3ba1c08672b295550e50b778c2
